username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FrancoisFillon;2016-12-23 13:33;451;579;"Très fier d'avoir rencontré les forces françaises engagées au Sahel contre le terrorisme islamique. Reportage : http://www. parismatch.com/Actu/Politique /Fillon-passe-les-troupes-en-revue-1148933 … pic.twitter.com/z1tLYagJAM";;;;"812274809979760641";https://twitter.com/FrancoisFillon/status/812274809979760641
FrancoisFillon;2016-12-19 21:57;1471;1712;"Solidarité avec nos amis allemands frappés ce soir au cœur de #Berlin . Mes pensées vont vers les victimes #IchBinEinBerliner";;;#Berlin #IchBinEinBerliner;"810952295429054465";https://twitter.com/FrancoisFillon/status/810952295429054465
FrancoisFillon;2016-12-19 21:24;329;381;"Plus que jamais, le dialogue doit prévaloir pour mettre fin au conflit en Syrie. #Ankara 3/3";;;#Ankara;"810943927146651648";https://twitter.com/FrancoisFillon/status/810943927146651648
FrancoisFillon;2016-12-19 21:24;557;708;"Je condamne avec la plus grand force cet acte terroriste et présente mes condoléances aux autorités russes et à sa famille #Ankara 2/3";;;#Ankara;"810943885438582784";https://twitter.com/FrancoisFillon/status/810943885438582784
FrancoisFillon;2016-12-19 21:24;298;326;"J'ai appris avec consternation l'assassinat de l'ambassadeur de Russie à #Ankara 1/3";;;#Ankara;"810943786801135616";https://twitter.com/FrancoisFillon/status/810943786801135616
FrancoisFillon;2016-12-19 12:16;479;540;"#Mali Une coopération européenne doit voir le jour car les Européens ne peuvent plus se reposer sur la protection américaine. pic.twitter.com/or2k7IWTuH";;;#Mali;"810805890353754112";https://twitter.com/FrancoisFillon/status/810805890353754112
FrancoisFillon;2016-12-19 08:18;446;566;"Un honneur d'être venu au Sahel témoigner de mon respect pour nos forces armées et les femmes et les hommes qui les servent. #Barkhane pic.twitter.com/13oIVnO2li";;;#Barkhane;"810746175385124864";https://twitter.com/FrancoisFillon/status/810746175385124864
FrancoisFillon;2016-12-19 08:16;319;383;"La France peut s'appuyer sur l'expérience, le savoir-faire et le professionnalisme de ces militaires. #Barkhane pic.twitter.com/MPIraudL2s";;;#Barkhane;"810745650375704577";https://twitter.com/FrancoisFillon/status/810745650375704577
FrancoisFillon;2016-12-18 14:24;508;575;"Si nous voulons vaincre le totalitarisme islamique, les nations fortes doivent assumer leur responsabilité. #Barkhane";;;#Barkhane;"810475906355646464";https://twitter.com/FrancoisFillon/status/810475906355646464
FrancoisFillon;2016-12-18 14:21;522;563;"Je pense profondément que nous sommes engagés dans une guerre de longue durée contre un nouveau totalitarisme du 21 ème siècle #Barkhane";;;#Barkhane;"810475024150839296";https://twitter.com/FrancoisFillon/status/810475024150839296
