username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
EmmanuelMacron;2017-02-01 07:43;234;232;"On doit financer différemment notre modèle social. #le79inter pic.twitter.com/0oXMckvPhn";;;#le79inter;"826682308828733440";https://twitter.com/EmmanuelMacron/status/826682308828733440
EmmanuelMacron;2017-02-01 07:35;247;234;"Je transformerai le CICE en allègement de charges durable. #le79inter pic.twitter.com/l77aQWdFU1";;;#le79inter;"826680427423346688";https://twitter.com/EmmanuelMacron/status/826680427423346688
EmmanuelMacron;2017-02-01 07:33;203;189;"Une entreprise qui a un taux de marge bas ne va pas pouvoir investir, préparer l’avenir et créer de nouveaux emplois. #le79inter pic.twitter.com/5Zz0SLxlIs";;;#le79inter;"826679903940648960";https://twitter.com/EmmanuelMacron/status/826679903940648960
EmmanuelMacron;2017-01-31 19:17;257;308;"Posez-moi vos questions sur @franceinter demain de 7h à 9h. #interactiv #le79inter https:// twitter.com/franceinter/st atus/826474003267153921 …";;@franceinter;#interactiv #le79inter;"826494508875538436";https://twitter.com/EmmanuelMacron/status/826494508875538436
EmmanuelMacron;2017-01-31 17:31;180;224;"C'est aussi pour ça que j'ai proposé de diviser par deux le nombre d'élèves par classe de CP et CE1. #AbbéPierre pic.twitter.com/0Ys8I0yFoC";;;#Abb;"826467953507987456";https://twitter.com/EmmanuelMacron/status/826467953507987456
EmmanuelMacron;2017-01-31 17:25;191;252;"Faire plus pour ceux qui ont moins : c’est pour ça que j’ai proposé de remettre dans ces quartiers de la prévention, de la médecine scolaire pic.twitter.com/jfx1l0pFH5";;;;"826466498386468864";https://twitter.com/EmmanuelMacron/status/826466498386468864
EmmanuelMacron;2017-01-31 17:20;104;114;"On a concentré dans certains quartiers le chômage de longue durée, alors qu'on n’a pas apporté de réponse de longue durée. #AbbéPierre";;;#Abb;"826465291374825472";https://twitter.com/EmmanuelMacron/status/826465291374825472
EmmanuelMacron;2017-01-31 17:14;192;322;"La République c’est un ensemble, c’est un tout, c’est un bloc. #AbbéPierre";;;#Abb;"826463684272734208";https://twitter.com/EmmanuelMacron/status/826463684272734208
EmmanuelMacron;2017-01-31 17:04;258;280;"Pour plus de justice dans l’attribution des logements sociaux, je créerai un mécanisme de cotation et développerai les bourses en ligne. pic.twitter.com/aljOpKwJDW";;;;"826461228025380865";https://twitter.com/EmmanuelMacron/status/826461228025380865
EmmanuelMacron;2017-01-31 16:55;238;283;"Nous sommes dans une lutte militaire face au terrorisme islamiste. Si on perd de vue nos principes, à quoi bon lutter ? #AbbéPierre pic.twitter.com/7UFhQufJ6K";;;#Abb;"826459017115529216";https://twitter.com/EmmanuelMacron/status/826459017115529216
EmmanuelMacron;2017-01-31 16:51;226;202;"Comment regarde-t-on en face la réalité des précaires aujourd’hui ? Comment on leur propose des solutions ? Aujourd’hui on ne le fait pas. pic.twitter.com/8yg6kwBrsr";;;;"826458005076058112";https://twitter.com/EmmanuelMacron/status/826458005076058112
EmmanuelMacron;2017-01-31 16:48;178;193;"En subventionnant le dysfonctionnement du système de logement avec des dépenses publiques, est-ce qu’on a traité le cœur du problème ? Non. pic.twitter.com/78dLkNp1Pl";;;;"826457245097553920";https://twitter.com/EmmanuelMacron/status/826457245097553920
EmmanuelMacron;2017-01-31 16:38;185;227;"La réalité du problème n’est pas nationale, elle est concentrée. Il faut remobiliser nos efforts sur ces zones délaissées. #AbbéPierre";;;#Abb;"826454658709336065";https://twitter.com/EmmanuelMacron/status/826454658709336065
EmmanuelMacron;2017-01-31 16:33;393;418;"La question du logement, c’est la place qu’on a dans la société. Pour les sans-abris, je m’engage à assurer un droit à la domiciliation. pic.twitter.com/qP9D0JhpUS";;;;"826453345061703681";https://twitter.com/EmmanuelMacron/status/826453345061703681
EmmanuelMacron;2017-01-31 16:29;108;170;"Ce sujet ne peut pas être réglé d'en haut : c'est la capacité à embarquer tout le monde qui permet d'y arriver. #AbbéPierre";;;#Abb;"826452471551782913";https://twitter.com/EmmanuelMacron/status/826452471551782913
EmmanuelMacron;2017-01-31 16:26;141;222;"Je remercie la Fondation Abbé Pierre de m’avoir invité pour parler de l’état du mal-logement en France. #AbbéPierre https://www. facebook.com/EmmanuelMacron /videos/1908159159416661/ …";;;#Abb;"826451630379978752";https://twitter.com/EmmanuelMacron/status/826451630379978752
EmmanuelMacron;2017-01-31 11:01;397;482;"À 16h, je présenterai mes engagements en matière de lutte contre le mal-logement à la Fondation #AbbéPierre . https:// twitter.com/abbe_pierre/st atus/826044866354348033 …";;;#Abb;"826369827346509824";https://twitter.com/EmmanuelMacron/status/826369827346509824
EmmanuelMacron;2017-01-30 18:14;940;1561;"Mes pensées aujourd’hui vont aux Canadiens, touchés par un odieux attentat terroriste qui a visé la communauté musulmane à Québec.";;;;"826116308471275520";https://twitter.com/EmmanuelMacron/status/826116308471275520
EmmanuelMacron;2017-01-30 13:58;378;622;"Je souhaite que les jeunes puissent avoir la liberté d’aller au théâtre, au musée, à l’opéra. pic.twitter.com/CIARWZ533q";;;;"826052060944728064";https://twitter.com/EmmanuelMacron/status/826052060944728064
EmmanuelMacron;2017-01-29 19:09;548;1536;"Bravo à nos Experts pour cette sixième étoile ! Vous faites notre fierté @FRAHandball #FRANOR";;@FRAHandball;#FRANOR;"825767761481711616";https://twitter.com/EmmanuelMacron/status/825767761481711616
EmmanuelMacron;2017-01-29 15:03;435;597;"À samedi prochain. Inscrivez-vous sur http:// en-marche.fr/Lyon pic.twitter.com/PCKO79ydJM";;;;"825706056118632448";https://twitter.com/EmmanuelMacron/status/825706056118632448
EmmanuelMacron;2017-01-29 10:19;2416;3586;"I stand with the people fleeing war and persecution. I stand with the people defending our values #NoBanNoWall";;;#NoBanNoWall;"825634483252654080";https://twitter.com/EmmanuelMacron/status/825634483252654080
EmmanuelMacron;2017-01-28 16:24;131;305;". @JamaisSansElles Nous y arriverons ensemble. Continuons dans ce sens !";;@JamaisSansElles;;"825364033029152768";https://twitter.com/EmmanuelMacron/status/825364033029152768
EmmanuelMacron;2017-01-28 16:00;808;1087;"À toutes celles qui pensent que la politique n'est pas faite pour elles : http://www. facebook.com/EmmanuelMacron /videos/1906579276241316/ … pic.twitter.com/c8f5KXLZzG";;;;"825357944804036608";https://twitter.com/EmmanuelMacron/status/825357944804036608
EmmanuelMacron;2017-01-28 12:55;242;383;"新的第一天，我祝大家新年快乐。万事如意！鸡年吉祥 !";;;;"825311277618696192";https://twitter.com/EmmanuelMacron/status/825311277618696192
EmmanuelMacron;2017-01-28 11:04;197;505;"Lumineuse dans Hiroshima mon amour, bouleversante chez Haneke : avec Emmanuelle Riva, le cinéma français perd une de ses légendes.";;;;"825283316983160832";https://twitter.com/EmmanuelMacron/status/825283316983160832
EmmanuelMacron;2017-01-27 19:44;323;501;"Le rôle de l’Etat est d’ouvrir les accès à la culture, et notamment aux musées. pic.twitter.com/1eX1HnRRhp";;;;"825051933207568384";https://twitter.com/EmmanuelMacron/status/825051933207568384
